x Re(psi) Im(psi)
4.313725490196080870e-01 2.231696383919534454e-01 5.459295551626560827e-27
5.098039215686274161e-01 2.231696383919536120e-01 5.521221132686411688e-27
5.882352941176467453e-01 2.231696383919538063e-01 5.587091018272367609e-27
6.666666666666660745e-01 2.231696383919540005e-01 5.642311281637839870e-27
7.450980392156854037e-01 2.231696383919541948e-01 5.703448001792469720e-27
8.235294117647065093e-01 2.231696383919544446e-01 5.752357377916173887e-27
9.019607843137258385e-01 2.231696383919546944e-01 5.800872323587268265e-27
9.803921568627451677e-01 2.231696383919549442e-01 5.845837395184868091e-27
1.058823529411764497e+00 2.231696383919552495e-01 5.891196897235077704e-27
1.137254901960783826e+00 2.231696383919555271e-01 5.922751333443919612e-27
1.215686274509803155e+00 2.231696383919558324e-01 5.955686276236899007e-27
1.294117647058822484e+00 2.231696383919561932e-01 5.984676914503772626e-27
1.372549019607843590e+00 2.231696383919565263e-01 6.009131602565625427e-27
1.450980392156862919e+00 2.231696383919568871e-01 6.027078188159404880e-27
1.529411764705882248e+00 2.231696383919573035e-01 6.046602495563625640e-27
1.607843137254901578e+00 2.231696383919576920e-01 6.060407561404994781e-27
1.686274509803920907e+00 2.231696383919581084e-01 6.077959716546163011e-27
1.764705882352940236e+00 2.231696383919585802e-01 6.086242756050985070e-27
1.843137254901961342e+00 2.231696383919590243e-01 6.095117441234722171e-27
1.921568627450980671e+00 2.231696383919594961e-01 6.095314656461028858e-27
2.000000000000000000e+00 2.231696383919599957e-01 6.097484023950387358e-27
2.078431372549019329e+00 2.231696383919604953e-01 6.093934149876893523e-27
2.156862745098038658e+00 2.231696383919610227e-01 6.085256679919463110e-27
2.235294117647057988e+00 2.231696383919615223e-01 6.071846044530705910e-27
2.313725490196079093e+00 2.231696383919620219e-01 6.064746296383717521e-27
2.392156862745098422e+00 2.231696383919625493e-01 6.044235912847971214e-27
2.470588235294117752e+00 2.231696383919630489e-01 6.019781224786120565e-27
2.549019607843137081e+00 2.231696383919635762e-01 5.998531284151729560e-27
2.627450980392156410e+00 2.231696383919640758e-01 5.966237290844244389e-27
2.705882352941175739e+00 2.231696383919645754e-01 5.932168360500011942e-27
2.784313725490195068e+00 2.231696383919651028e-01 5.898520053255633667e-27
2.862745098039216174e+00 2.231696383919656024e-01 5.859987587672289362e-27
2.941176470588235503e+00 2.231696383919661020e-01 5.826411695393819329e-27
3.019607843137254832e+00 2.231696383919666016e-01 5.781348016183069030e-27
3.098039215686274161e+00 2.231696383919671012e-01 5.734706615161875989e-27
3.176470588235293491e+00 2.231696383919676008e-01 5.680472427927930710e-27
3.254901960784312820e+00 2.231696383919681004e-01 5.629295076701716852e-27
3.333333333333333925e+00 2.231696383919686000e-01 5.568454179386544881e-27
3.411764705882353255e+00 2.231696383919690996e-01 5.506232775487236858e-27
3.490196078431372584e+00 2.231696383919695992e-01 5.444307194427385996e-27
3.568627450980391913e+00 2.231696383919700988e-01 5.380409461104482605e-27
3.647058823529411242e+00 2.231696383919705984e-01 5.306650966466316566e-27
3.725490196078430571e+00 2.231696383919710980e-01 5.234075763185982045e-27
3.803921568627451677e+00 2.231696383919715976e-01 5.160120053321510036e-27
3.882352941176471006e+00 2.231696383919720972e-01 5.079853456215269932e-27
3.960784313725490335e+00 2.231696383919725968e-01 4.994853693677703758e-27
4.039215686274509665e+00 2.231696383919730964e-01 4.906698487519252819e-27
4.117647058823528994e+00 2.231696383919735960e-01 4.818543281360802597e-27
4.196078431372548323e+00 2.231696383919740956e-01 4.733346303596931170e-27
4.274509803921567652e+00 2.231696383919745674e-01 4.632963753407555265e-27
4.352941176470588758e+00 2.231696383919750670e-01 4.534158925028622102e-27
4.431372549019608087e+00 2.231696383919755666e-01 4.427662702823784073e-27
4.509803921568627416e+00 2.231696383919760385e-01 4.322941417655693321e-27
4.588235294117646745e+00 2.231696383919765381e-01 4.211120384340613463e-27
4.666666666666666075e+00 2.231696383919770377e-01 4.101271503288586134e-27
4.745098039215685404e+00 2.231696383919775095e-01 3.993098951660154172e-27
4.823529411764706509e+00 2.231696383919780091e-01 3.881179310731922405e-27
4.901960784313725839e+00 2.231696383919785087e-01 3.759497516101581334e-27
4.980392156862745168e+00 2.231696383919789806e-01 3.639492050894834913e-27
5.058823529411764497e+00 2.231696383919794524e-01 3.515542281161983433e-27
5.137254901960783826e+00 2.231696383919799520e-01 3.389324536326622262e-27
5.215686274509803155e+00 2.231696383919803961e-01 3.261529069680819067e-27
5.294117647058822484e+00 2.231696383919808402e-01 3.133339172582405725e-27
5.372549019607843590e+00 2.231696383919812843e-01 2.999627249147445300e-27
5.450980392156862919e+00 2.231696383919817006e-01 2.871831782501642464e-27
5.529411764705882248e+00 2.231696383919821169e-01 2.737330998161461027e-27
5.607843137254901578e+00 2.231696383919825333e-01 2.603619074726500961e-27
5.686274509803920907e+00 2.231696383919829219e-01 2.460835250881499259e-27
5.764705882352940236e+00 2.231696383919833104e-01 2.320812440204771099e-27
5.843137254901961342e+00 2.231696383919836713e-01 2.178817477264990767e-27
5.921568627450980671e+00 2.231696383919840043e-01 2.033272640251715883e-27
6.000000000000000000e+00 2.231696383919843374e-01 1.888911094596272516e-27
6.078431372549019329e+00 2.231696383919846427e-01 1.739421953056892573e-27
6.156862745098038658e+00 2.231696383919849480e-01 1.585594076538796885e-27
6.235294117647057988e+00 2.231696383919852256e-01 1.431174554341785438e-27
6.313725490196077317e+00 2.231696383919854754e-01 1.275571740786942474e-27
6.392156862745096646e+00 2.231696383919857252e-01 1.121743864268846607e-27
6.470588235294115975e+00 2.231696383919859472e-01 9.700853552401083427e-28
6.549019607843135304e+00 2.231696383919861415e-01 8.140881112326545138e-28
6.627450980392158186e+00 2.231696383919863358e-01 6.567103606410637348e-28
6.705882352941177516e+00 2.231696383919865023e-01 5.022908384440517501e-28
6.784313725490196845e+00 2.231696383919866411e-01 3.445186573998504652e-28
6.862745098039216174e+00 2.231696383919867799e-01 1.845771088662913530e-28
6.941176470588235503e+00 2.231696383919868909e-01 2.266340806967968888e-29
7.019607843137254832e+00 2.231696383919870019e-01 -1.384614318217110980e-28
7.098039215686274161e+00 2.231696383919870852e-01 -2.942614606028602121e-28
7.176470588235293491e+00 2.231696383919871407e-01 -4.547946548153355315e-28
7.254901960784312820e+00 2.231696383919872240e-01 -6.125668358595375339e-28
7.333333333333332149e+00 2.231696383919872517e-01 -7.738888909772339997e-28
7.411764705882351478e+00 2.231696383919872517e-01 -9.332387938318780256e-28
