x y Re(psi) Im(psi)
-3.873015873015873023e+00 -3.746031746031746046e+00 1.016084816497611898e-01 4.615283269053084558e-02
-3.746031746031746046e+00 -3.746031746031746046e+00 1.018930581721060324e-01 4.628209367750944075e-02
-3.619047619047619069e+00 -3.746031746031746046e+00 1.023046242834885766e-01 4.646903616076801524e-02
-3.492063492063492092e+00 -3.746031746031746046e+00 1.028324406147136383e-01 4.670878207991616821e-02
-3.365079365079365115e+00 -3.746031746031746046e+00 1.034655073348444421e-01 4.699633506704637559e-02
-3.238095238095238138e+00 -3.746031746031746046e+00 1.041926804279921376e-01 4.732663326223838368e-02
-3.111111111111111160e+00 -3.746031746031746046e+00 1.050026775288592645e-01 4.769455196419287307e-02
-2.984126984126984183e+00 -3.746031746031746046e+00 1.058841427930172913e-01 4.809493309575472303e-02
-2.857142857142857206e+00 -3.746031746031746046e+00 1.068256852284066721e-01 4.852260261493285959e-02
-2.730158730158730229e+00 -3.746031746031746046e+00 1.078159423662162081e-01 4.897239943563013592e-02
-2.603174603174603252e+00 -3.746031746031746046e+00 1.088436362358316534e-01 4.943920085271017589e-02
-2.476190476190476275e+00 -3.746031746031746046e+00 1.098976439939365196e-01 4.991795462330608085e-02
-2.349206349206349298e+00 -3.746031746031746046e+00 1.109670660598648939e-01 5.040370991541340967e-02
-2.222222222222222321e+00 -3.746031746031746046e+00 1.120413024542537550e-01 5.089165198260432732e-02
-2.095238095238095344e+00 -3.746031746031746046e+00 1.131101263715748040e-01 5.137713558230808802e-02
-1.968253968253968367e+00 -3.746031746031746046e+00 1.141637599228452482e-01 5.185571937983526197e-02
-1.841269841269841390e+00 -3.746031746031746046e+00 1.151929439311379644e-01 5.232319765105118009e-02
-1.714285714285714413e+00 -3.746031746031746046e+00 1.161890036355361228e-01 5.277563012657351948e-02
-1.587301587301587436e+00 -3.746031746031746046e+00 1.171439039664695786e-01 5.320936709905986495e-02
-1.460317460317460458e+00 -3.746031746031746046e+00 1.180502948614983033e-01 5.362107000664464301e-02
-1.333333333333333481e+00 -3.746031746031746046e+00 1.189015420283906083e-01 5.400772540621343737e-02
-1.206349206349206504e+00 -3.746031746031746046e+00 1.196917435843076472e-01 5.436665253129088771e-02
-1.079365079365079527e+00 -3.746031746031746046e+00 1.204157301507853967e-01 5.469550333518349849e-02
-9.523809523809525501e-01 -3.746031746031746046e+00 1.210690498314308111e-01 5.499225566751520661e-02
-8.253968253968255731e-01 -3.746031746031746046e+00 1.216479382705884793e-01 5.525519967420757655e-02
-6.984126984126985960e-01 -3.746031746031746046e+00 1.221492766824111703e-01 5.548291873335006036e-02
-5.714285714285716189e-01 -3.746031746031746046e+00 1.225705407725037194e-01 5.567426625427431691e-02
-4.444444444444446418e-01 -3.746031746031746046e+00 1.229097443236302628e-01 5.582834005292753449e-02
-3.174603174603176647e-01 -3.746031746031746046e+00 1.231653828137612844e-01 5.594445674193511409e-02
-1.904761904761906877e-01 -3.746031746031746046e+00 1.233363768019700435e-01 5.602212601521559115e-02
-6.349206349206371058e-02 -3.746031746031746046e+00 1.234220318477407263e-01 5.606103244243844375e-02
6.349206349206326649e-02 -3.746031746031746046e+00 1.234220318477410594e-01 5.606103244243833272e-02
1.904761904761897995e-01 -3.746031746031746046e+00 1.233363768019708900e-01 5.602212601521525115e-02
3.174603174603172207e-01 -3.746031746031746046e+00 1.231653828137625334e-01 5.594445674193460061e-02
4.444444444444446418e-01 -3.746031746031746046e+00 1.229097443236319143e-01 5.582834005292682672e-02
5.714285714285711748e-01 -3.746031746031746046e+00 1.225705407725057039e-01 5.567426625427348424e-02
6.984126984126977078e-01 -3.746031746031746046e+00 1.221492766824134601e-01 5.548291873334913055e-02
8.253968253968251290e-01 -3.746031746031746046e+00 1.216479382705909634e-01 5.525519967420656348e-02
9.523809523809525501e-01 -3.746031746031746046e+00 1.210690498314334895e-01 5.499225566751406863e-02
1.079365079365079083e+00 -3.746031746031746046e+00 1.204157301507882832e-01 5.469550333518227725e-02
1.206349206349205616e+00 -3.746031746031746046e+00 1.196917435843106864e-01 5.436665253128959013e-02
1.333333333333333037e+00 -3.746031746031746046e+00 1.189015420283937308e-01 5.400772540621209816e-02
1.460317460317460458e+00 -3.746031746031746046e+00 1.180502948615014397e-01 5.362107000664328993e-02
1.587301587301586991e+00 -3.746031746031746046e+00 1.171439039664727427e-01 5.320936709905851880e-02
1.714285714285713524e+00 -3.746031746031746046e+00 1.161890036355393563e-01 5.277563012657217334e-02
1.841269841269840946e+00 -3.746031746031746046e+00 1.151929439311411701e-01 5.232319765104982701e-02
1.968253968253968367e+00 -3.746031746031746046e+00 1.141637599228484817e-01 5.185571937983388807e-02
2.095238095238094900e+00 -3.746031746031746046e+00 1.131101263715780930e-01 5.137713558230670718e-02
2.222222222222221433e+00 -3.746031746031746046e+00 1.120413024542569885e-01 5.089165198260294648e-02
2.349206349206348854e+00 -3.746031746031746046e+00 1.109670660598679887e-01 5.040370991541205659e-02
2.476190476190476275e+00 -3.746031746031746046e+00 1.098976439939394478e-01 4.991795462330476940e-02
2.603174603174602808e+00 -3.746031746031746046e+00 1.088436362358343873e-01 4.943920085270896853e-02
2.730158730158729341e+00 -3.746031746031746046e+00 1.078159423662186506e-01 4.897239943562905345e-02
2.857142857142856762e+00 -3.746031746031746046e+00 1.068256852284087816e-01 4.852260261493186733e-02
2.984126984126984183e+00 -3.746031746031746046e+00 1.058841427930190954e-01 4.809493309575383485e-02
3.111111111111110716e+00 -3.746031746031746046e+00 1.050026775288608327e-01 4.769455196419213755e-02
3.238095238095237249e+00 -3.746031746031746046e+00 1.041926804279934698e-01 4.732663326223776612e-02
3.365079365079364671e+00 -3.746031746031746046e+00 1.034655073348454690e-01 4.699633506704586211e-02
3.492063492063492092e+00 -3.746031746031746046e+00 1.028324406147144432e-01 4.670878207991580738e-02
3.619047619047618625e+00 -3.746031746031746046e+00 1.023046242834891179e-01 4.646903616076775156e-02
3.746031746031745158e+00 -3.746031746031746046e+00 1.018930581721064071e-01 4.628209367750928810e-02
3.873015873015872579e+00 -3.746031746031746046e+00 1.016084816497613286e-01 4.615283269053076926e-02
4.000000000000000000e+00 -3.746031746031746046e+00 1.014615955798958830e-01 4.608611377005292914e-02
-4.000000000000000000e+00 -3.619047619047619069e+00 1.018677600232338887e-01 4.627060269552314697e-02
-3.873015873015873023e+00 -3.619047619047619069e+00 1.020165735828225395e-01 4.633819712471121122e-02
-3.746031746031746046e+00 -3.619047619047619069e+00 1.023046242834887987e-01 4.646903616076800136e-02
-3.619047619047619069e+00 -3.619047619047619069e+00 1.027208328555176409e-01 4.665808735292573811e-02
-3.492063492063492092e+00 -3.619047619047619069e+00 1.032541395615434454e-01 4.690032712244417146e-02
