x Re(psi) Im(psi)
4.117647058823528994e+00 -3.919603360280175808e-02 2.330435143381398289e-01
4.196078431372548323e+00 -4.194800183621907180e-02 2.372999000958232185e-01
4.274509803921567652e+00 -4.467470216186709975e-02 2.414133452669036117e-01
4.352941176470588758e+00 -4.737449211742746080e-02 2.453813720658216402e-01
4.431372549019608087e+00 -5.004574545038261574e-02 2.492015903016077116e-01
4.509803921568627416e+00 -5.268685309760946095e-02 2.528716988176437086e-01
4.588235294117646745e+00 -5.529622415461860063e-02 2.563894868777937819e-01
4.666666666666666075e+00 -5.787228683385600703e-02 2.597528354980691012e-01
4.745098039215685404e+00 -6.041348941148889928e-02 2.629597187230245381e-01
4.823529411764706509e+00 -6.291830116210615775e-02 2.660082048461184234e-01
4.901960784313725839e+00 -6.538521328077016859e-02 2.688964575733003848e-01
4.980392156862745168e+00 -6.781273979186448753e-02 2.716227371291262682e-01
5.058823529411764497e+00 -7.019941844418983723e-02 2.741854013047340111e-01
5.137254901960783826e+00 -7.254381159176975791e-02 2.765829064470483045e-01
5.215686274509803155e+00 -7.484450705983466956e-02 2.788138083886197438e-01
5.294117647058822484e+00 -7.710011899546308223e-02 2.808767633175378031e-01
5.372549019607843590e+00 -7.930928870236778061e-02 2.827705285868920004e-01
5.450980392156862919e+00 -8.147068545932352468e-02 2.844939634632965286e-01
5.529411764705882248e+00 -8.358300732174371583e-02 2.860460298140252711e-01
5.607843137254901578e+00 -8.564498190592319260e-02 2.874257927323439210e-01
5.686274509803920907e+00 -8.765536715547467272e-02 2.886324211006632834e-01
5.764705882352940236e+00 -8.961295208949696112e-02 2.896651880911729759e-01
5.843137254901961342e+00 -9.151655753202467269e-02 2.905234716036555476e-01
5.921568627450980671e+00 -9.336503682231957202e-02 2.912067546402163365e-01
6.000000000000000000e+00 -9.515727650557632977e-02 2.917146256167038598e-01
6.078431372549019329e+00 -9.689219700362580734e-02 2.920467786106322183e-01
6.156862745098038658e+00 -9.856875326523291403e-02 2.922030135454579680e-01
6.235294117647057988e+00 -1.001859353955961568e-01 2.921832363110983821e-01
6.313725490196077317e+00 -1.017427692646704906e-01 2.919874588206198829e-01
6.392156862745096646e+00 -1.032383170939469852e-01 2.916157990030621705e-01
6.470588235294115975e+00 -1.046716780213353959e-01 2.910684807324019907e-01
6.549019607843135304e+00 -1.060419886438098147e-01 2.903458336927001726e-01
6.627450980392158186e+00 -1.073484235374906337e-01 2.894482931795118730e-01
6.705882352941177516e+00 -1.085901957548485453e-01 2.883763998376811521e-01
6.784313725490196845e+00 -1.097665572987326782e-01 2.871307993356761457e-01
6.862745098039216174e+00 -1.108767995729359468e-01 2.857122419766635613e-01
6.941176470588235503e+00 -1.119202538090270649e-01 2.841215822465529839e-01
