x y Re(psi) Im(psi)
-1.841269841269841390e+00 -3.746031746031746046e+00 8.498532940584025428e-04 8.532545088735934502e-04
-1.714285714285714413e+00 -3.746031746031746046e+00 9.328527704071402828e-04 9.365861590817493951e-04
-1.587301587301587436e+00 -3.746031746031746046e+00 1.018474451765586861e-03 1.022550508678627106e-03
-1.460317460317460458e+00 -3.746031746031746046e+00 1.105691257588983355e-03 1.110116366619840140e-03
-1.333333333333333481e+00 -3.746031746031746046e+00 1.193310180745072932e-03 1.198085951215520405e-03
-1.206349206349206504e+00 -3.746031746031746046e+00 1.279989571413572749e-03 1.285112243201972596e-03
-1.079365079365079527e+00 -3.746031746031746046e+00 1.364265956900240608e-03 1.369725912891580277e-03
-9.523809523809525501e-01 -3.746031746031746046e+00 1.444591118956619789e-03 1.450372545880821351e-03
-8.253968253968255731e-01 -3.746031746031746046e+00 1.519377558188916670e-03 1.525458289412997843e-03
-6.984126984126985960e-01 -3.746031746031746046e+00 1.587052209071477616e-03 1.593403782365370152e-03
-5.714285714285716189e-01 -3.746031746031746046e+00 1.646113766307999741e-03 1.652701711037946530e-03
-4.444444444444446418e-01 -3.746031746031746046e+00 1.695194082600856621e-03 1.701978452643252999e-03
-3.174603174603176647e-01 -3.746031746031746046e+00 1.733114699444333840e-03 1.740050832343629063e-03
-1.904761904761906877e-01 -3.746031746031746046e+00 1.758954607393670155e-03 1.765994154703836878e-03
-6.349206349206371058e-02 -3.746031746031746046e+00 1.772079048337979858e-03 1.779171121234853934e-03
6.349206349206326649e-02 -3.746031746031746046e+00 1.772079048337923913e-03 1.779171121234798206e-03
1.904761904761897995e-01 -3.746031746031746046e+00 1.758954607393670155e-03 1.765994154703948551e-03
3.174603174603172207e-01 -3.746031746031746046e+00 1.733114699444305868e-03 1.740050832343657036e-03
4.444444444444446418e-01 -3.746031746031746046e+00 1.695194082600772704e-03 1.701978452643336699e-03
5.714285714285711748e-01 -3.746031746031746046e+00 1.646113766307888068e-03 1.652701711037918558e-03
6.984126984126977078e-01 -3.746031746031746046e+00 1.587052209071254053e-03 1.593403782365398124e-03
8.253968253968251290e-01 -3.746031746031746046e+00 1.519377558188776808e-03 1.525458289412997843e-03
9.523809523809525501e-01 -3.746031746031746046e+00 1.444591118956438294e-03 1.450372545880849323e-03
1.079365079365079083e+00 -3.746031746031746046e+00 1.364265956899961101e-03 1.369725912891538210e-03
1.206349206349205616e+00 -3.746031746031746046e+00 1.279989571413321214e-03 1.285112243201958718e-03
1.333333333333333037e+00 -3.746031746031746046e+00 1.193310180744807302e-03 1.198085951215513249e-03
1.460317460317460458e+00 -3.746031746031746046e+00 1.105691257588710787e-03 1.110116366619777256e-03
1.587301587301586991e+00 -3.746031746031746046e+00 1.018474451765289789e-03 1.022550508678522155e-03
1.714285714285713524e+00 -3.746031746031746046e+00 9.328527704068467893e-04 9.365861590816201582e-04
1.841269841269840946e+00 -3.746031746031746046e+00 8.498532940581230355e-04 8.532545088734223631e-04
1.968253968253968367e+00 -3.746031746031746046e+00 7.703294473174320542e-04 7.734123981598354115e-04
2.095238095238094900e+00 -3.746031746031746046e+00 6.949613178611525627e-04 6.977426364097247258e-04
2.222222222222221433e+00 -3.746031746031746046e+00 6.242630344189236671e-04 6.267614099574756121e-04
2.349206349206348854e+00 -3.746031746031746046e+00 5.585954072293837329e-04 5.608309730476547213e-04
2.476190476190476275e+00 -3.746031746031746046e+00 4.981825567009402376e-04 5.001763430453709351e-04
2.603174603174602808e+00 -3.746031746031746046e+00 4.431309080835561256e-04 4.449043711272710941e-04
